FdxReference,FddCreated,FddModified,FdsGroup,FdnValue,FdsLookupShort,FdsLookup,FdsCode,FdbEditable,FdbDeletable,FdbDefault
741,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",22,"SKIN ERUPTION Gr1/2","Skin Eruption 1/2","SKIN ERUPTION Gr1/2",0,0,0
742,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",23,"SKIN ERUPTION Gr3/4","Skin Eruption 3/4","SKIN ERUPTION Gr3/4",0,0,0
743,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",24,"DIARRHEA Gr1/2","Diarrhea 1/2","DIARRHEA Gr1/2",0,0,0
744,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",25,"DIARRHEA Gr3","Diarrhea 3","DIARRHEA Gr3",0,0,0
745,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",26,"DIARRHEA Gr4","Diarrhea 4","DIARRHEA Gr4",0,0,0
746,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",27,"RENAL FUNCTION Gr1/2","Renal Function 1-2 (>1-3 x ULN)","RENAL FUNCTION Gr1/2",0,0,0
747,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",28,"RENAL FUNCTION Gr3","Renal Function 3 (>3-6 x ULN)","RENAL FUNCTION Gr3",0,0,0
748,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",29,"RENAL FUNCTION Gr4","Renal Function 4 (>6 x ULN)","RENAL FUNCTION Gr4",0,0,0
749,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",30,"GENERAL DETERIORAT. Gr1/2","General Deterioration 1-2","GENERAL DETERIORAT. Gr1/2",0,0,0
750,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",31,"GENERAL DETERIORAT. Gr3","General Deterioration 3","GENERAL DETERIORAT. Gr3",0,0,0
751,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",32,"GENERAL DETERIORAT. Gr4","General Deterioration 4","GENERAL DETERIORAT. Gr4",0,0,0
752,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",33,"PANCREATITIS Gr1/2","Pancreatic Amylase (>1-2 x ULN)","PANCREATITIS Gr1/2",0,0,0
753,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",34,"PANCREATITIS Gr3","Pancreatic Amylase (>2-5 x ULN) and abdominal pain","PANCREATITIS Gr3",0,0,0
754,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",35,"PANCREATITIS Gr4","Pancreatic Amylase (>5 x ULN) and shock","PANCREATITIS Gr4",0,0,0
755,"06/17/05 08:45:36","06/17/05 08:45:36","BREA",0,"E","Exclusive","E",0,0,0
756,"06/17/05 08:45:36","06/17/05 08:45:36","BREA",1,"M","Mixed","M",0,0,0
757,"06/17/05 08:45:36","06/17/05 08:45:36","BREA",2,"R","Replacement","R",0,0,0
758,"06/17/05 08:45:36","06/17/05 08:45:36","BREA",99,"NS","Not specified","NS",0,0,0
759,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",0,"TR","Transferred","TR",0,0,0
760,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",1,"AB","Absconded","AB",0,0,0
761,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",2,"DC","Died","DC",0,0,0
762,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",3,"TS","Terminal stage","TS",0,0,0
763,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",4,"MA","Medical agreement","MA",0,0,0
764,"06/17/05 08:45:36","06/17/05 08:45:36","EXIT",99,"NS","Not specified","NS",0,0,0
765,"06/17/05 08:45:36","06/17/05 08:45:36","AGE_UNIT",1,"D","Day(s)","D",0,0,0
766,"06/17/05 08:45:36","06/17/05 08:45:36","AGE_UNIT",2,"M","Month(s)","M",0,0,0
767,"06/17/05 08:45:36","06/17/05 08:45:36","AGE_UNIT",3,"Y","Year(s)","Y",0,0,1
768,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",1,"C","Cured","C",0,0,0
769,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",2,"F","Failure","F",0,0,0
770,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",3,"TC","Completed Treatment","TC",0,0,0
771,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",4,"DF","Defaulter","DF",0,0,0
772,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",5,"D","Dead","D",0,0,0
773,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",6,"T","Transferred Out","T",0,0,0
774,"06/17/05 08:45:36","06/17/05 08:45:36","OUTCOME",99,"NS","Not specified","NS",0,0,1
775,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",1,"N","New Case","N",0,0,0
776,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",2,"R","Relapse","R",0,0,0
777,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",3,"TD","Treatment After Default","TD",0,0,0
778,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",4,"F","Failure","F",0,0,0
779,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",5,"TI","Transfer In","TI",0,0,0
780,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",98,"O","Other","O",0,0,0
781,"06/17/05 08:45:36","06/17/05 08:45:36","CASE",99,"NS","Not specified","NS",0,0,1
782,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",12,"1 -> 2","Transition 1 towards 2","1 -> 2",0,0,0
783,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",13,"1 -> 3","Transition 1 towards 3","1 -> 3",0,0,0
784,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",14,"1 -> 4","Transition 1 towards 4","1 -> 4",0,0,0
785,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",23,"2 -> 3","Transition 2 towards 3","2 -> 3",0,0,0
786,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",24,"2 -> 4","Transition 2 towards 4","2 -> 4",0,0,0
787,"06/17/05 08:45:36","06/17/05 08:45:36","WHOT",34,"3 -> 4","Transition 3 towards 4","3 -> 4",0,0,0
788,"06/17/05 08:45:36","06/17/05 08:45:36","CDCB",1,"1","Biological 1","1",0,0,0
789,"06/17/05 08:45:36","06/17/05 08:45:36","CDCB",2,"2","Biological 2","2",0,0,0
790,"06/17/05 08:45:36","06/17/05 08:45:36","CDCB",3,"3","Biological 3","3",0,0,0
791,"06/17/05 08:45:36","06/17/05 08:45:36","CDCB",99,"NS","Not specified","NS",0,0,1
792,"06/17/05 08:45:36","06/17/05 08:45:36","PEDIATC",0,"N","N","N",0,0,0
793,"06/17/05 08:45:36","06/17/05 08:45:36","PEDIATC",1,"A","A","A",0,0,0
794,"06/17/05 08:45:36","06/17/05 08:45:36","PEDIATC",2,"B","B","B",0,0,0
795,"06/17/05 08:45:36","06/17/05 08:45:36","PEDIATC",3,"C","C","C",0,0,0
796,"06/17/05 08:45:36","06/17/05 08:45:36","PEDIATC",99,"NS","Not specified","NS",0,0,1
797,"06/17/05 08:45:36","06/17/05 08:45:36","AFBCLT",0,"MT","M.tuberculosis","MT",0,0,0
798,"06/17/05 08:45:36","06/17/05 08:45:36","AFBCLT",1,"MO","Other Mycobacterium","MO",0,0,0
799,"06/17/05 08:45:36","06/17/05 08:45:36","AFBCLT",2,"N","Negative","N",0,0,0
800,"06/17/05 08:45:36","06/17/05 08:45:36","AFBCLT",99,"NS","Not specified","NS",0,0,1
801,"06/17/05 08:45:36","06/17/05 08:45:36","AFBSRC",1,"S","Sputum","S",0,0,0
802,"06/17/05 08:45:36","06/17/05 08:45:36","AFBSRC",2,"O","Other","O",0,0,0
803,"06/17/05 08:45:36","06/17/05 08:45:36","AFBSRC",99,"NS","Not specified","NS",0,0,1
804,"06/17/05 08:45:36","06/17/05 08:45:36","PCR",0,"PCR -","Negative PCR","PCR -",0,0,0
805,"06/17/05 08:45:36","06/17/05 08:45:36","PCR",1,"PCR +","Positive PCR","PCR +",0,0,0
806,"06/17/05 08:45:36","06/17/05 08:45:36","PCR",99,"NS","Not specified","NS",0,0,1
807,"06/17/05 08:45:36","06/17/05 08:45:36","TPREGNACY",0,"V","Vaginal","V",0,0,0
808,"06/17/05 08:45:36","06/17/05 08:45:36","TPREGNACY",1,"C","Caesarean section","C",0,0,0
811,"06/17/05 08:45:36","06/17/05 08:45:36","INTC",0,"NS","Not specified","NS",0,0,0
812,"06/17/05 08:45:36","06/17/05 08:45:36","APPOINTMENT",0,"BP","0 - Before the period (Lost to follow-up)","BP",0,0,0
813,"06/17/05 08:45:36","06/17/05 08:45:36","APPOINTMENT",1,"DP","1 - During the period (Waited)","DP",0,0,0
814,"06/17/05 08:45:36","06/17/05 08:45:36","APPOINTMENT",2,"AP","2 - After the period (Active file)","AP",0,0,0
815,"06/17/05 08:45:36","06/17/05 08:45:36","APPOINTMENT",99,"NS","3 - Not specified","NS",0,0,1
816,"06/17/05 08:45:36","06/17/05 08:45:36","TBRESEARCH",1,"SP","Sputum / Sample","SP",0,0,0
817,"06/17/05 08:45:36","06/17/05 08:45:36","TBRESEARCH",2,"XRAY","X-Ray","XRAY",0,0,0
818,"06/17/05 08:45:36","06/17/05 08:45:36","TBRESEARCH",3,"O","Other","O",0,0,0
819,"06/17/05 08:45:36","06/17/05 08:45:36","TBRESEARCH",99,"NS","Not specified","NS",0,0,1
820,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPE",1,"P","Pulmonary","P",0,0,0
821,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPE",2,"EP","Extra-Pulmonary","EP",0,0,0
822,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPE",3,"B","Both","B",0,0,0
823,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPE",99,"NS","Not specified","NS",0,0,1
824,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",1,"PE","Pleural effusion","PE",0,0,0
825,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",2,"DM","Disseminated or miliary","DM",0,0,0
826,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",3,"M","Meningitis","M",0,0,0
827,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",4,"BJ","Bones and joints","BJ",0,0,0
828,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",5,"GU","Genito-urinary","GU",0,0,0
829,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",6,"LN","Lymph nodes","LN",0,0,0
830,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",7,"A","Ascite","A",0,0,0
831,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",8,"DT","Digestive tract","DT",0,0,0
832,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",9,"PCE","Pericardial effusion","PCE",0,0,0
833,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",98,"O","Other","O",0,0,0
834,"06/17/05 08:45:36","06/17/05 08:45:36","TBTYPEXT",99,"NS","Not specified","NS",0,0,1
835,"06/17/05 08:45:36","06/17/05 08:45:36","EXAM",1,"P","Positive","P",0,0,0
836,"06/17/05 08:45:36","06/17/05 08:45:36","EXAM",2,"N","Negative","N",0,0,0
837,"06/17/05 08:45:36","06/17/05 08:45:36","EXAM",3,"ND","Not done","ND",0,0,0
838,"06/17/05 08:45:36","06/17/05 08:45:36","EXAM",99,"NS","Not specified","NS",0,0,1
839,"06/17/05 08:45:36","06/17/05 08:45:36","CDCC",0,"A","CDC Clinical A","A",0,0,0
840,"06/17/05 08:45:36","06/17/05 08:45:36","CDCC",1,"B","CDC Clinical B","B",0,0,0
841,"06/17/05 08:45:36","06/17/05 08:45:36","CDCC",2,"C","CDC Clinical C","C",0,0,0
842,"06/17/05 08:45:36","06/17/05 08:45:36","CDCC",99,"NS","Not specified","NS",0,0,1
843,"06/17/05 08:45:36","06/17/05 08:45:36","XRAY",1,"SGXR","Suggestive X-Ray","SGXR",0,0,0
844,"06/17/05 08:45:36","06/17/05 08:45:36","XRAY",2,"NSG","Not suggestive","NSG",0,0,0
845,"06/17/05 08:45:36","06/17/05 08:45:36","XRAY",3,"ND","Not done","ND",0,0,0
846,"06/17/05 08:45:36","06/17/05 08:45:36","XRAY",4,"O","Other","O",0,0,0
847,"06/17/05 08:45:36","06/17/05 08:45:36","XRAY",99,"NS","Not specified","NS",0,0,1
848,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",1,"AZT + NVPsd + (AZT-3TC)","AZT + NVPsd + (AZT-3TC)","AZT + NVPsd + (AZT-3TC)",0,0,0
849,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",2,"NVPsd + (AZT-3TC)","NVPsd + (AZT-3TC)","NVPsd + (AZT-3TC)",0,0,0
850,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",3,"NVPsd","NVPsd","NVPsd",0,0,0
853,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",97,"N","None","N",0,0,0
854,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",98,"O","Other","O",0,0,0
855,"06/17/05 08:45:36","06/17/05 08:45:36","PTTT",99,"NS","Not specified","NS",0,0,1
856,"11/24/05 15:20:38","11/24/05 15:21:01","KPRO",5,"HWF","Housewife",,1,1,0
857,"11/24/05 15:21:04","11/24/05 15:21:25","KPRO",6,"FMR","Farmer",,1,1,0
858,"11/24/05 15:21:44","11/24/05 15:22:01","KPRO",7,"BUS","Business",,1,1,0
859,"11/24/05 15:22:03","11/24/05 15:22:23","KPRO",8,"STD","Student",,1,1,0
860,"04/11/06 17:51:25","04/11/06 17:51:41","KREF",4,"HC","Health Center",,1,1,0
867,"07/23/06 12:56:41","07/23/06 12:56:55","KINT",36,"ALAT Gr1","ALAT (1.25 - 2.5 x ULN)","ALAT Gr1",0,0,0
868,"07/23/06 12:57:24","07/23/06 12:57:43","KINT",37,"ALAT Gr2","ALAT (2.6 - 5.0 x ULN)","ALAT Gr2",0,0,0
869,"07/23/06 12:57:50","07/23/06 12:58:18","KINT",38,"ALAT Gr3","ALAT (5.1 - 10.0 x ULN)","ALAT Gr3",0,0,0
870,"07/23/06 12:58:21","07/23/06 12:59:56","KINT",39,"ALAT Gr4","ALAT (>10 x ULN)","ALAT Gr4",0,0,0
871,"10/13/06 13:26:21","07/27/07 10:14:51","KREG",5,"DR TB Regimen","DR TB Regimen","DR TB Regimen",0,0,0
872,"10/23/06 13:02:54","07/27/07 10:13:41","KREG",6,"2SHE/10EH","Adult Cat 1 (Hepatic Intorelance)",,1,1,0
883,"01/02/07 08:52:51","01/02/07 08:53:18","KPRG",5,"VU","ARV- VILLAGE UNIT",,1,1,0
884,"01/03/07 13:46:00","07/27/07 10:16:21","KREG",7,"2RHZ/7RH","Adult Cat 1 (Miliary & Spinal TB)",,1,1,0
885,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",55,"WS4D23","Visceral leishmaniasis disseminated","A4:C0",0,0,0
886,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",54,"WS4D22","Progressive multifocal leukoencephalopathy","A4:C4",0,0,0
887,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",53,"WS4D21","HIV-associated nephropathy","A4:C4",0,0,0
888,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",52,"WS4D20","HIV-associated cardiomyopathy","A4:C4",0,0,0
889,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",51,"WS4D19","Cervical carcinoma","A4:C0",0,0,0
890,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",50,"WS3D17","Lymphoid interstitial pneumonitis","A0:C3",0,0,0
891,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",49,"WS3D16","HIV-associated chronic lung disease","A0:C3",0,0,0
892,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",48,"WS3D15","Unexplained anaemia/neutropenia/trombocytopenia","A3:C3",0,0,0
893,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",47,"WS3D14","Malnutrition moderate","A0:C3",0,0,0
894,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",46,"WS3D13","Lymph node TB","A0:C3",0,0,0
895,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",45,"WS3D11","Acute necrotizing ulcerative stomatitis","A3:C3",0,0,0
896,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",44,"WS2D14","Wart infection","A0:C2",0,0,0
897,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",43,"WS2D13","Unexplained parotid enlargement","A0:C2",0,0,0
898,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",42,"WS2D12","Unexplained hepatosplenomegaly","A0:C2",0,0,0
899,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",41,"WS2D11","Seborrheic dermatitis","A2:C0",0,0,0
900,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",40,"WS2D10","Papular pruritic eruption","A2:C2",0,0,0
901,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",39,"WS2D9","Oral ulcerations","A2:C2",0,0,0
902,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",38,"WS2D8","Molluscum contagiosum","A0:C2",0,0,0
903,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",37,"WS2D7","Lineal gingival erythema","A0:C2",0,0,0
904,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",36,"WS2D6","Fungal nail infection","A2:C2",0,0,0
905,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",35,"WS2D5","Angular cheilitis","A2:C0",0,0,0
906,"05/28/07 07:54:51","05/28/07 07:54:51","KDIA",34,"WS1D2","Persistent generalized lymphadenopathy","A1:C1",0,0,0
907,"05/28/07 07:54:51","05/28/07 07:54:51","KINT",40,"CREATINE Gr1","Creatine (1.1 - 1.5 x ULN)","CREATINE Gr1",0,0,0
908,"05/28/07 07:54:51","05/28/07 07:54:51","KINT",41,"CREATINE Gr2","Creatine (1.6 - 3.0 x ULN)","CREATINE Gr2",0,0,0
909,"05/28/07 07:54:51","05/28/07 07:54:51","KINT",42,"CREATINE Gr3","Creatine (3.1 - 6.0 x ULN)","CREATINE Gr3",0,0,0
910,"05/28/07 07:54:51","05/28/07 07:54:51","KINT",43,"CREATINE Gr4","Creatine (>6 x ULN)","CREATINE Gr4",0,0,0
911,"09/10/07 11:42:59","09/10/07 11:43:18","KPRG",6,"MOHC","MOH Clinical Officer",,1,1,0
912,"09/10/07 11:43:21","09/10/07 11:43:43","KPRG",7,"MOHN","MOH Nurse",,1,1,0
913,"09/10/07 11:44:37","09/10/07 11:44:54","KPRG",8,"MOHD","MOH Doctor",,1,1,0
914,"07/05/08 12:47:35","07/05/08 12:48:01","KORG",15,"THU","THUMBWE",,1,1,0
916,"07/05/08 12:49:15","07/05/08 12:49:47","KLOC",15,"THU","THUMBWE",,1,1,0
917,"09/08/08 16:45:07","09/08/08 16:45:07","KDRG",85,"FDC9","FDC9 (EFV-TDF-FTC)","FDC9:A3:EFV-TDF-FTC",0,0,0
918,"09/08/08 16:45:07","09/08/08 16:45:07","TDRG",11,"SP","Stopped for Pregnancy","SP",0,0,0
919,"09/08/08 16:45:07","09/08/08 16:45:07","TDRG",10,"ST","Stopped for TB regimen","ST",0,0,0
920,"09/08/08 16:45:07","09/08/08 16:45:07","HIVTEST",0,"SERO","Serology","SERO",0,0,0
921,"09/08/08 16:45:07","09/08/08 16:45:07","HIVTEST",1,"PCR","PCR","PCR",0,0,0
922,"09/08/08 16:45:07","09/08/08 16:45:07","HIVTEST",99,"NS","Not specified","NS",0,0,1
923,"09/08/08 16:45:07","09/08/08 16:45:07","OUTCOME",8,"TS","Treatment stopped for toxicity","TS",0,0,0
924,"09/08/08 16:45:07","09/08/08 16:45:07","OUTCOME",7,"A","Adapted to DST","A",0,0,0
925,"09/08/08 16:45:07","09/08/08 16:45:07","WHONS",1,"1","WHO Stage 1","1",0,0,0
926,"09/08/08 16:45:07","09/08/08 16:45:07","WHONS",2,"2","WHO Stage 2","2",0,0,0
927,"09/08/08 16:45:07","09/08/08 16:45:07","WHONS",3,"3","WHO Stage 3","3",0,0,0
928,"09/08/08 16:45:07","09/08/08 16:45:07","WHONS",4,"4","WHO Stage 4","4",0,0,0
929,"09/08/08 16:45:07","09/08/08 16:45:07","WHONS",0,"NS","WHO Stage 0","NS",0,0,1
930,"09/08/08 16:45:07","09/08/08 16:45:07","TPREGNACY",99,"NS","Not specified","NS",0,0,1
931,"09/08/08 16:45:07","09/08/08 16:45:07","PTTT",0,"cART","HAART","cART",0,0,0
932,"09/08/08 16:45:08","09/08/08 16:45:08","REFB",0,"ANC","ANC","ANC",0,0,0
933,"09/08/08 16:45:08","09/08/08 16:45:08","REFB",1,"HCC","HIV Care Clinic","HCC",0,0,0
934,"09/08/08 16:45:08","09/08/08 16:45:08","REFB",2,"PHC","Peripheral HC","PHC",0,0,0
935,"09/08/08 16:45:08","09/08/08 16:45:08","REFB",98,"O","Other","O",0,0,0
936,"09/08/08 16:45:08","09/08/08 16:45:08","REFB",99,"NS","Not specified","NS",0,0,1
937,"09/08/08 16:45:08","09/08/08 16:45:08","FCLT",0,"HP","Hospital","HP",0,0,0
938,"09/08/08 16:45:08","09/08/08 16:45:08","FCLT",1,"HC","Health Centre","HC",0,0,0
939,"09/08/08 16:45:08","09/08/08 16:45:08","FCLT",2,"H","Home","H",0,0,0
940,"09/08/08 16:45:08","09/08/08 16:45:08","FCLT",99,"NS","Not specified","NS",0,0,1
941,"09/08/08 16:45:08","09/08/08 16:45:08","FEED",0,"EB","Exclusive Breastfeeding","EB",0,0,0
942,"09/08/08 16:45:08","09/08/08 16:45:08","FEED",1,"EI","Exclusive Infant formula","EI",0,0,0
943,"09/08/08 16:45:08","09/08/08 16:45:08","FEED",2,"M","Mixed feeding","M",0,0,0
944,"09/08/08 16:45:08","09/08/08 16:45:08","FEED",99,"NS","Not specified","NS",0,0,1
945,"09/08/08 16:45:08","09/08/08 16:45:08","AZT",0,"N","No","N",0,0,0
946,"09/08/08 16:45:08","09/08/08 16:45:08","AZT",1,"4W","4 weeks","4W",0,0,0
947,"09/08/08 16:45:08","09/08/08 16:45:08","AZT",2,"7D","7 days","7D",0,0,0
948,"09/08/08 16:45:08","09/08/08 16:45:08","AZT",99,"NS","Not specified","NS",0,0,1
949,"09/09/08 15:54:50","09/09/08 15:56:29","KREG",8,"2SRHZ/7RH","Adult Cat 1 (TB Meningitis)",,1,1,0
950,"02/16/10 13:57:52","04/15/10 12:02:18","KPRG",9,"SMA","Six Month Appointment",,1,1,0
951,"04/23/10 12:23:12","04/23/10 12:24:31","KPRG",10,"SMAD","Six Month Appointment Discontinued",,1,1,0
952,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",87,"FDC10","FDC10 (TDF-3TC)","FDC10:A2:TDF-3TC",0,0,0
953,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",88,"FDC11","FDC11 (TDF-3TC-EFV)","FDC11:A3:TDF-3TC-EFV",0,0,0
954,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",89,"FDC12","FDC12 (TDF-3TC-NVP)","FDC12:A3:TDF-3TC-NVP",0,0,0
955,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",312,"FDC4p","FDC4 pediatric (AZT-3TCp)","FDC4p:A2:AZT-3TCp",0,0,0
956,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",314,"FDC5p","FDC5 pediatric (ABC-3TCp)","FDC5p:A2:ABC-3TCp",0,0,0
957,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",316,"FDC6p","FDC6 pediatric (D4T-3TCp)","FDC6p:A2:D4T-3TCp",0,0,0
958,"03/07/11 09:45:28","03/07/11 09:45:28","KDRG",322,"ABCp","Abacavir pediatric","ABCp:A1:ABCp",0,0,0
959,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",1,"PCR","DNA PCR","PCR",0,0,0
960,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",2,"UP24AG","Ultrasensitive AgP24","UP24AG",0,0,0
961,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",3,"RT","Antibody Test","RT",0,0,0
962,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",4,"VL","RNA Viral Load","VL",0,0,0
963,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",5,"IC","ImmunoComb","IC",0,0,0
964,"03/07/11 09:45:28","03/07/11 09:45:28","HIVCHILD",99,"NS","Not specified","NS",0,0,1
965,"03/07/11 09:45:28","03/07/11 09:45:28","CREAT_UNIT",1,"MD","mg/dL","MD",0,0,0
966,"03/07/11 09:45:28","03/07/11 09:45:28","CREAT_UNIT",2,"UL","µmol/L","UL",0,0,0
967,"03/07/11 09:45:28","03/07/11 09:45:28","GLYCO",0,"0","0","0",0,0,0
968,"03/07/11 09:45:28","03/07/11 09:45:28","GLYCO",1,"1","1+","1",0,0,0
969,"03/07/11 09:45:28","03/07/11 09:45:28","GLYCO",2,"2","2+","2",0,0,0
970,"03/07/11 09:45:28","03/07/11 09:45:28","GLYCO",3,"3","3+","3",0,0,0
971,"03/07/11 09:45:28","03/07/11 09:45:28","GLYCO",99,"NS","Not specified","NS",0,0,1
972,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",1,"AZT","AZT","AZT",0,0,0
973,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",2,"NVP","NVP","NVP",0,0,0
974,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",3,"NVPAZT","NVP+AZT","NVPAZT",0,0,0
975,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",4,"O","Other","O",0,0,0
976,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",97,"N","None","N",0,0,0
977,"03/07/11 09:45:28","03/07/11 09:45:28","BABARV",99,"NS","Not specified","NS",0,0,1
978,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",1,"SD","SD","SD",0,0,0
979,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",2,"SD7D","SD+7D","SD7D",0,0,0
980,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",3,"SD4W","SD+4W","SD4W",0,0,0
981,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",4,"6W","6W","6W",0,0,0
982,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",5,"PEP","Long PEP","PEP",0,0,0
983,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",6,"O","Other","O",0,0,0
984,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",97,"N","None","N",0,0,0
985,"03/07/11 09:45:28","03/07/11 09:45:28","BABARVD",99,"NS","Not specified","NS",0,0,1
986,"03/07/11 09:45:28","03/07/11 09:45:28","EXAMHIV",1,"P","Positive","P",0,0,0
987,"03/07/11 09:45:28","03/07/11 09:45:28","EXAMHIV",2,"N","Negative","N",0,0,0
988,"03/07/11 09:45:28","03/07/11 09:45:28","EXAMHIV",3,"I","Invalid","I",0,0,0
989,"03/07/11 09:45:28","03/07/11 09:45:28","EXAMHIV",4,"ND","Not done","ND",0,0,0
990,"03/07/11 09:45:28","03/07/11 09:45:28","EXAMHIV",99,"NS","Not specified","NS",0,0,1
991,"03/07/11 09:45:28","03/07/11 09:45:28","PTTT",4,"cARTPPL","Prophylactic cART","cARTPPL",0,0,0
992,"05/31/13 14:32:11","05/31/13 14:32:11","KDRG",255,"ATZ/r","Atazanavir/Ritonavir","ATZ/r:A1:ATZ/r",0,0,0
993,"05/31/13 14:32:11","05/31/13 14:32:11","KDRG",282,"DRV","Darunavir","DRV:A3:DRV",0,0,0
